strategy,family,ticker,start_date,end_date,initial_cash_brl,final_equity_brl,final_profit_brl,final_return_pct,completed_trades,max_trade_gain_pct,max_trade_loss_pct
donchian_breakout_20_10_trend100,rompimento,BBSE3,2013-04-29,2026-09-10,1000.0,1279.7895,279.7895,27.979,42,30.6651,-14.0883
donchian_breakout_20_10_trend100,rompimento,BPAC11,2017-02-24,2026-09-10,1000.0,8217.299,7217.299,721.7299,27,157.8381,-11.0283
donchian_breakout_20_10_trend100,rompimento,BRAP4,2000-01-03,2026-09-10,1000.0,16523.2584,15523.2584,1552.3258,77,83.1579,-17.1779
donchian_breakout_20_10_trend100,rompimento,CMIG4,2000-01-03,2026-09-10,1000.0,276.7912,-723.2088,-72.3209,87,57.6391,-98.2
donchian_breakout_20_10_trend100,rompimento,CPFE3,2000-01-03,2026-09-10,1000.0,272.9406,-727.0594,-72.7059,76,70.5885,-43.7956
donchian_breakout_20_10_trend100,rompimento,CPLE3,2000-01-03,2026-09-10,1000.0,5427.0848,4427.0848,442.7085,86,49.3586,-16.092
donchian_breakout_20_10_trend100,rompimento,CSMG3,2006-02-08,2026-09-10,1000.0,6389.885,5389.885,538.9885,60,87.8853,-11.5886
donchian_breakout_20_10_trend100,rompimento,CSNA3,2000-01-03,2026-09-10,1000.0,28672.3756,27672.3756,2767.2376,85,264.9123,-33.843
donchian_breakout_20_10_trend100,rompimento,CYRE3,2000-01-03,2026-09-10,1000.0,15752.3998,14752.3998,1475.24,79,160.4918,-16.0082
donchian_breakout_20_10_trend100,rompimento,EGIE3,2002-03-01,2026-09-10,1000.0,657.8225,-342.1775,-34.2178,89,40.7625,-14.3463
donchian_breakout_20_10_trend100,rompimento,ENEV3,2007-12-14,2026-09-10,1000.0,3165.2458,2165.2458,216.5246,48,110.4209,-21.0526
donchian_breakout_20_10_trend100,rompimento,ENGI11,2009-11-03,2026-09-10,1000.0,701.6548,-298.3452,-29.8345,62,33.971,-17.0909
donchian_breakout_20_10_trend100,rompimento,EQTL3,2008-04-07,2026-09-10,1000.0,1979.1256,979.1256,97.9126,60,27.0192,-32.7908
donchian_breakout_20_10_trend100,rompimento,GGBR4,2000-01-03,2026-09-10,1000.0,4348.1493,3348.1493,334.8149,88,44.2857,-16.0363
donchian_breakout_20_10_trend100,rompimento,GOAU4,2000-01-03,2026-09-10,1000.0,120853.6689,119853.6689,11985.3669,82,196.6776,-12.812
donchian_breakout_20_10_trend100,rompimento,HYPE3,2008-04-18,2026-09-10,1000.0,2180.0749,1180.0749,118.0075,53,39.7193,-10.8978
donchian_breakout_20_10_trend100,rompimento,ITSA4,2000-01-03,2026-09-10,1000.0,2635.5669,1635.5669,163.5567,91,22.4771,-19.7861
donchian_breakout_20_10_trend100,rompimento,ITUB4,2000-12-21,2026-09-10,1000.0,1878.3493,878.3493,87.8349,96,22.6351,-13.1358
donchian_breakout_20_10_trend100,rompimento,KLBN11,2014-01-23,2026-09-10,1000.0,1398.9164,398.9164,39.8916,37,27.2606,-9.5813
donchian_breakout_20_10_trend100,rompimento,LREN3,2000-01-04,2026-09-10,1000.0,1618.8125,618.8125,61.8812,71,36.6188,-17.7841
donchian_breakout_20_10_trend100,rompimento,MGLU3,2011-05-02,2026-09-10,1000.0,16221.073,15221.073,1522.1073,41,136.2543,-23.8323
